Satellite-Name	Satellite-ID	Altitude-(km)	Inclination-(deg)	Orbital-Period-(min)
Beacon-C		6503201			927.00			41					107.6
BeiDou-3M1		1706901			21500.00		55					773
COMPASS-G8		1902701			35769.00		1.59				1436
COMPASS-M3		1201801			21528.00		55					773.39
Cryosat-2		1001301			720.00			92					99.33
Etalon-1		8900103			19105.00		65					676
Etalon-2		8903903			19135.00		65					675
Galileo-101		1106001			23220.00		56					844.8
Geo-IK-2		1603401			943.50			99.47				103.6
GLONASS-105		705202			19140.00		65					675
GRACE-FO-1		1804701			500.00			89					90
ICESat-2		1807001			496.00			92					94.16
IRNSS-1C		1406101			42293.00		5					1436.12
LAGEOS-1		7603901			5850.00			110					225
LAGEOS-2		9207002			5625.00			53					223
Sentinel-3A		1601101			814.50			98.65				100
Sentinel-6A		2008601			1339.40			66.042				112.43
Starlette		7501001			800.00			50					104
TanDEM-X		1003001			514.00			97.44				94.8
